                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96651,                 2.2885,                 1.6199,                0.00333,                      1,                0.59804,                0.25097,                0.96749,                 3.1817,                 1.6656,                0.00044,                0.00044,                0.00044
                      2,                0.94346,                 1.7183,                 1.5621,                0.88907,                0.83333,                0.93401,                0.51138,                 1.3926,                 2.4766,                 2.5499,             0.00088886,             0.00088886,             0.00088886
                      3,                 1.0438,                 1.6711,                 1.6521,                0.61968,                0.60582,                0.61222,                0.36342,                 1.4343,                 2.6707,                 2.0549,              0.0013263,              0.0013263,              0.0013263
                      4,                0.91812,                 1.5342,                 1.4918,                0.81901,                0.87023,                0.84473,                0.43955,                  1.602,                 2.3107,                 2.7559,              0.0017524,              0.0017524,              0.0017524
                      5,                0.91194,                 1.3849,                 1.5267,                0.79376,                0.76923,                0.81334,                0.42651,                 1.5047,                 2.3657,                 2.4727,               0.001901,               0.001901,               0.001901
                      6,                0.84333,                 1.3524,                 1.4063,                0.72268,                0.76923,                0.83515,                0.50552,                 1.3083,                 2.0466,                 2.0355,              0.0018763,              0.0018763,              0.0018763
                      7,                0.91474,                 1.2114,                  1.501,                 0.8276,                0.49243,                0.65323,                0.34667,                 1.5437,                 2.3083,                 2.2767,              0.0018515,              0.0018515,              0.0018515
                      8,                 1.0048,                 1.2079,                 1.6135,                0.74176,                0.61538,                0.74231,                 0.3814,                 1.3626,                 2.1964,                 1.9938,              0.0018267,              0.0018267,              0.0018267
                      9,                0.86559,                  1.085,                 1.4539,                0.83116,                0.82051,                0.89679,                0.45879,                 1.5503,                 2.2559,                 2.3544,               0.001802,               0.001802,               0.001802
                     10,                0.76411,                0.96923,                 1.3656,                 0.9373,                0.97436,                0.98729,                0.68828,                 1.0159,                 1.3995,                 1.6298,              0.0017772,              0.0017772,              0.0017772
                     11,                0.77437,                0.92857,                 1.3301,                0.88822,                0.88462,                0.85281,                0.60874,                 1.0512,                 1.4443,                  1.664,              0.0017525,              0.0017525,              0.0017525
                     12,                0.78311,                0.90915,                 1.3632,                0.88634,                0.88462,                0.83934,                0.54395,                 1.1724,                 1.3149,                 1.8195,              0.0017278,              0.0017278,              0.0017278
                     13,                0.77545,                0.81673,                 1.3627,                0.83887,                0.88462,                0.86197,                0.58921,                 1.0508,                 1.2112,                 1.6789,               0.001703,               0.001703,               0.001703
                     14,                0.71928,                0.77706,                 1.3024,                0.91186,                0.91026,                0.92409,                0.67867,                0.93455,                 1.1129,                 1.5412,              0.0016783,              0.0016783,              0.0016783
                     15,                 0.7572,                0.74449,                 1.3246,                0.89211,                0.92308,                 0.9471,                0.54791,                 1.1617,                 1.0941,                 1.7868,              0.0016535,              0.0016535,              0.0016535
                     16,                0.72275,                0.72373,                 1.2832,                0.90484,                0.85342,                0.90913,                0.55963,                 1.1709,                 1.1262,                 1.8818,              0.0016287,              0.0016287,              0.0016287
                     17,                0.68864,                0.70347,                 1.2346,                0.91611,                0.88462,                0.91845,                0.63277,                 1.0356,                 1.1283,                 1.6091,               0.001604,               0.001604,               0.001604
                     18,                0.67737,                0.66844,                 1.2795,                0.87918,                0.84615,                0.88119,                0.56597,                 1.1354,                 1.0617,                 1.8157,              0.0015793,              0.0015793,              0.0015793
                     19,                0.73246,                0.66995,                 1.3004,                0.93312,                0.88462,                0.92119,                0.65283,                0.99807,                 1.0059,                 1.5646,              0.0015545,              0.0015545,              0.0015545
                     20,                0.63671,                 0.6237,                 1.1996,                0.97456,                0.98216,                0.99425,                0.80406,                0.84868,                0.79573,                 1.3588,              0.0015298,              0.0015298,              0.0015298
                     21,                0.63213,                0.61081,                 1.1952,                0.97758,                0.98718,                0.99364,                0.77471,                0.84179,                0.75223,                 1.3615,               0.001505,               0.001505,               0.001505
                     22,                0.65177,                0.58517,                 1.2013,                0.97309,                      1,                0.99437,                0.74811,                0.92827,                0.75629,                 1.4363,              0.0014803,              0.0014803,              0.0014803
                     23,                0.64358,                0.61314,                 1.2165,                0.94899,                0.95414,                0.97905,                0.68146,                0.95379,                0.79682,                 1.5151,              0.0014555,              0.0014555,              0.0014555
                     24,                0.62844,                0.55689,                 1.1969,                0.94973,                0.98718,                0.97454,                0.68354,                 1.0007,                0.70099,                  1.599,              0.0014307,              0.0014307,              0.0014307
                     25,                  0.665,                0.55682,                 1.2392,                      1,                0.99645,                  0.995,                0.71735,                0.98226,                0.71444,                 1.5381,               0.001406,               0.001406,               0.001406
                     26,                0.64399,                0.53216,                  1.253,                0.95809,                0.94872,                0.96603,                0.76388,                0.80407,                0.70727,                 1.3092,              0.0013813,              0.0013813,              0.0013813
                     27,                0.65548,                0.51451,                 1.2165,                0.93741,                0.96007,                0.96236,                0.74189,                0.85405,                0.67277,                 1.3909,              0.0013565,              0.0013565,              0.0013565
                     28,                0.65059,                0.52335,                 1.2148,                0.95816,                      1,                0.99363,                0.73197,                0.90991,                0.67365,                 1.4932,              0.0013318,              0.0013318,              0.0013318
                     29,                0.60844,                0.52339,                 1.1875,                0.99555,                0.96154,                0.99256,                0.65084,                0.99633,                0.71383,                 1.5965,               0.001307,               0.001307,               0.001307
                     30,                0.61341,                0.50519,                 1.2025,                0.97144,                0.98718,                0.97064,                0.69011,                0.87521,                0.63865,                 1.4163,              0.0012822,              0.0012822,              0.0012822
                     31,                0.60421,                 0.4935,                 1.1782,                0.97333,                0.98718,                0.97615,                0.72245,                0.87625,                  0.643,                 1.3676,              0.0012575,              0.0012575,              0.0012575
                     32,                0.53272,                0.44833,                 1.1243,                 0.9356,                0.93127,                0.92679,                 0.7093,                0.86668,                0.69141,                 1.4045,              0.0012328,              0.0012328,              0.0012328
                     33,                0.56761,                0.46282,                 1.1255,                0.92515,                0.96154,                0.94271,                0.73393,                0.86024,                0.61594,                 1.4216,               0.001208,               0.001208,               0.001208
                     34,                0.56455,                0.44556,                 1.1431,                0.90014,                0.92455,                0.90964,                 0.6698,                0.96173,                0.66481,                 1.5032,              0.0011833,              0.0011833,              0.0011833
                     35,                0.55654,                0.42934,                 1.1191,                0.94224,                0.96154,                0.95768,                0.72053,                0.87637,                0.62623,                 1.3954,              0.0011585,              0.0011585,              0.0011585
                     36,                0.52372,                0.42433,                 1.1189,                0.94801,                0.96154,                0.96582,                0.73794,                0.87036,                0.61433,                 1.3603,              0.0011337,              0.0011337,              0.0011337
                     37,                0.51836,                0.41886,                 1.1076,                0.93737,                0.95936,                0.94262,                0.75515,                0.77735,                0.59318,                 1.3033,               0.001109,               0.001109,               0.001109
                     38,                0.50077,                0.40984,                 1.0883,                0.92401,                 0.9359,                0.93205,                0.75122,                0.79768,                0.59445,                 1.3714,              0.0010842,              0.0010842,              0.0010842
                     39,                 0.5399,                0.40502,                 1.1088,                0.94642,                0.96154,                0.97055,                0.75103,                 0.8381,                0.61608,                 1.3977,              0.0010595,              0.0010595,              0.0010595
                     40,                0.52565,                0.40364,                 1.1154,                0.93455,                0.91534,                0.95249,                0.70628,                0.88612,                0.64955,                 1.4682,              0.0010347,              0.0010347,              0.0010347
